name,location,price,capacity,rating,reviews,description
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,"Located in the heart of the city overlooking Piedmont Park, our venues celebrate what Atlanta is all about: city skylines tucked in among the trees and seasonal colors."
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,Monday Night Garage is one of Atlanta’s most charming and inviting private event spaces.
FORTH Hotel Atlanta,Georgia,$$$$,201-250 Guests,0.0,0,"FORTH Hotel Atlanta is a deluxe wedding venue in Atlanta, GA, boasting an elegant ballroom and state-of-the-art facilities."
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0.0,0,"The Kimpton Shane is a boutique hotel venue in Atlanta, GA, featuring stunning architecture and stylish furnishings."
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"Ambient + Studio in Atlanta, GA, is a unique wedding venue built in 1910."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5.0,101,"Book your wedding, wedding reception or rehearsal dinner at Wahoo! and you can relax, enjoy and leave the rest to our outstanding staff."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5.0,6,Factory Atlanta is a versatile wedding venue perfect for couples who love to get creative.
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5.0,4,"Journeyman's Hall is a wedding venue located in South Downtown Atlanta, GA."
Terminus 330,Atlanta Georgia,$$,151-200 Guests,4.9,15,Terminus 330 is an award-winning wedding venue located in the heart of the Centennial Park District in downtown Atlanta.
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"The Atlanta Botanical Garden is a versatile indoor/outdoor wedding venue in Atlanta, GA."
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,"Emory Conference Center Hotel is an elegant venue situated in Atlanta, GA, offering versatility and unique surroundings."
Swan Coach House,"Atlanta, GA",$$,101-150 Guests,5.0,7,"Swan Coach House is an elegant wedding venue in Atlanta, GA, originally part of Atlanta’s famed Inman family estate."
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,93,Wow your guests in the Historic DeKalb Courthouse; a premier wedding venue in the heart of charming Decatur.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5.0,8,InterContinental Buckhead Atlanta is a hotel wedding venue that combines classic charm with modern luxury.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5.0,4,"Grand Hyatt Atlanta in Buckhead is an elegant wedding venue in Atlanta, GA, offering a luxurious yet down-to-earth vibe."
The Westside Warehouse,"Atlanta, GA",$$,151-200 Guests,5.0,37,The Westside Warehouse is located in the heart of Atlanta’s west-midtown creative district.
Renaissance Concourse Atlanta Airport Hotel,"Atlanta, GA",$$$,300+ Guests,0.0,0,Renaissance Concourse Atlanta Airport Hotel is an elegant wedding venue that combines luxury and convenience.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5.0,6,42West Entertainment Group is a wedding and special event venue located in West Atlanta.
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,"Callanwolde Fine Arts Center is a unique wedding venue in Atlanta, GA, with a century-long legacy."
The Trolley Barn,"Atlanta, GA",$$,201-250 Guests,4.2,42,"This 1889 structure features hardwood floors, a patio and garden area off of the main hall, two getting ready suites, a warming kitchen and is fully climate controlled."
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,The Wimbish House has been the destination for weddings and events for nearly a century.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0.0,0,"Hotel Colee is an award-winning hotel in Atlanta, GA, ideal for hosting celebrations."
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",,300+ Guests,5.0,2,"Omni Atlanta Hotel at CNN Center is the perfect Atlanta, GA, wedding venue with hotel banquet and catering services."
Rhodes Hall,"Atlanta, GA",$$,101-150 Guests,4.5,21,"Rhodes Hall is a mansion and wedding venue located in Atlanta, GA, known as the 'Castle on Peachtree.'"
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5.0,3,"Epicurean Hotel Atlanta is a luxe and lavish wedding venue in Atlanta, GA, inspired by sleek modern architecture."
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,Waldorf Astoria Atlanta Buckhead is a luxurious wedding venue in one of Atlanta’s most prestigious neighborhoods.
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,"SCAD Ivy Hall is a historic wedding venue situated in Atlanta, GA, originally constructed in 1883."
Enon Ranch,"Atlanta, GA",$$,251-300 Guests,5.0,2,"Enon Ranch is a beautiful wedding venue located in Atlanta, GA, offering a rustic event space."
Pristine Chapel Lakeside,"Jonesboro, GA",$$,251-300 Guests,4.8,103,"Pristine Chapel Lakeside is a luxe ceremony and reception venue in Jonesboro, GA, serving the Atlanta area."
Stanley House Mansion,"Marietta, GA",$$,101-150 Guests,5.0,49,"Stanley House Mansion is a stunning wedding venue in Marietta, GA, exuding history and classic Southern charm."
Vecoma At The Yellow River,"Snellville, GA",$$,251-300 Guests,4.9,206,"Nestled on 70 acres of lush forest along the scenic Yellow River, Vecoma at the Yellow River is one of metro Atlanta's premier all-inclusive wedding venues."
Brick and Ivey,"Marietta, GA",$$,151-200 Guests,5,109,"North Atlanta's newest wedding venue with exposed white brick walls, two bridal suites, and separate event spaces for cocktail hour and after parties."
The Atrium,"Norcross, GA",$$,101-150 Guests,4.9,151,A contemporary wedding venue with a mezzanine level overlooking a two-story glass atrium in a magnificent garden property.
Primrose Cottage,"Roswell, GA",$$,300+ Guests,4.9,273,"An enchanting three-story home situated on a stately front lawn in Historic Roswell, hidden from the hustle and bustle of the city."
Little Gardens,"Lawrenceville, GA",$$,251-300 Guests,4.9,215,"A serene wedding venue with indoor and outdoor spaces, featuring a manor house and lavish green grounds."
Country Club of Roswell,"Roswell, GA",$$,201-250 Guests,4.7,23,A flexible venue accommodating both intimate celebrations and larger receptions with over 200 guests.
Flint Hill,"Norcross, GA",$$,251-300 Guests,4.8,205,"A beautifully restored historic mansion with farmhouse décor, a covered pavilion, and landscaped grounds."
Kimball Hall,"Roswell, GA",$$,151-200 Guests,5,164,"A newly renovated venue with indoor and outdoor ceremony sites, a brand new outdoor courtyard, and plenty of mingling space."
Roswell Historic Hall,"Roswell, GA",$$,300+ Guests,4.3,49,"A romantic wedding venue hosting various events, including weddings, graduations, and corporate events."
Olde Towne Special Events,"Atlanta, GA",$$,251-300 Guests,5,66,A full-service events facility offering stylish backdrops for weddings and milestone occasions.
Ivy Hall,"Roswell, GA",$$$,201-250 Guests,4.9,89,"A historic venue with Southern charm, originally built by Roswell King and rebuilt in 1882."
Glover Park Brewery,"Marietta, GA",$$,251-300 Guests,,,"A unique wedding venue in Marietta, GA."
Naylor Hall,"Roswell, GA",,201-250 Guests,5,173,A grand historic venue recently renovated with a complete makeover.
Huntcliff River Club,Atlanta Area,$$,101-150 Guests,4.9,30,A charming venue surrounded by century-old river oaks and manicured lawns near the Chattahoochee River.
Chattahoochee Nature Center,"Roswell, GA",$$,151-200 Guests,4.9,39,A nature-focused wedding venue allowing couples to connect with nature.
The Reserves at Hamilton Homes,"Mableton, GA",$$$,101-150 Guests,5,1,"A venue with gorgeous sunset views, timeless interiors, and a sweeping spiral staircase."
Roswell Mill Club,"Roswell, GA",$$,151-200 Guests,4.8,41,"A historic venue with Southern charm, originally built by Roswell King and rebuilt in 1882."
Whitestone Reserve,"Austell, GA",$$,101-150 Guests,5,21,"A stunning new venue with chandeliers, natural lighting, and neutral tones."
The 173 Carlyle House,"Norcross, GA",$$,300+ Guests,4.8,112,A beautiful turn-of-the-century mansion with elegant rooms and manicured grounds.
Westin Atlanta Airport,"Atlanta, GA",,300+ Guests,4,4,A convenient wedding venue near Hartsfield-Jackson International Airport.
Eden Garden House,"Lithonia, GA",$$$,151-200 Guests,,,A beautiful garden house facility renovated for special events.
